Time,J1,J2,J3,J4
13:15,22,12,37,25
13:18,41,17,67,18
13:21,40,24,74,18
13:24,27,11,72,28
13:27,32,14,84,19
13:30,29,19,107,23
13:33,44,23,96,17
13:36,35,22,86,37
13:39,34,16,70,17
13:42,50,21,59,22
13:45,49,24,108,29
13:48,53,21,107,23
13:51,49,24,60,29
13:54,35,27,45,32
13:57,31,18,66,28
14:00,29,9,24,32
14:03,37,12,32,24
14:06,32,13,30,26
14:09,33,21,53,18
14:12,34,22,46,25
14:15,27,23,84,43
14:18,24,18,71,23
14:21,28,28,78,37
14:24,26,22,48,39
14:27,26,17,91,35
14:30,23,13,61,32
14:33,14,22,77,39
14:36,23,20,78,33
14:39,18,16,64,27
14:42,20,19,70,30
14:45,26,19,106,32
14:48,29,18,71,31
14:51,25,19,110,32
14:54,18,14,81,31
14:57,28,19,98,31
15:00,47,22,115,21
15:03,22,11,76,32
15:06,23,14,77,31
15:09,19,19,106,32
15:12,26,18,55,29
15:15,27,14,69,37
15:18,33,14,62,29
15:21,36,14,76,32
15:24,44,19,70,37
15:27,18,22,75,32
15:30,29,18,102,35
15:33,16,13,58,24
15:36,20,16,58,24
15:39,18,9,52,22
15:42,17,24,69,20
15:45,19,19,63,39
15:48,12,8,52,27
15:51,14,20,54,24
15:54,20,11,67,27
15:57,19,19,64,27
16:00,21,18,43,26
16:03,31,20,54,24
16:06,23,16,76,28
16:09,24,19,48,32
16:12,22,19,68,29
16:15,25,17,39,31
16:18,23,11,54,32
16:21,20,19,70,36
16:24,13,17,42,26
16:27,26,16,82,29
16:30,31,16,56,26
16:33,24,17,87,26
16:36,53,18,61,32
16:39,31,21,70,27
16:42,30,20,79,42
16:45,36,17,66,30
16:48,27,15,63,27
16:51,25,22,56,34
16:54,27,18,71,39
16:57,26,19,58,29
17:00,22,23,86,40
17:03,23,21,61,29
17:06,28,24,69,34
17:09,31,20,75,34
17:12,46,26,80,41
17:15,40,19,75,36
17:18,35,20,107,42
17:21,32,30,113,37
17:24,33,25,113,41
17:27,25,19,91,46
17:30,37,20,95,45
17:33,34,22,85,41
17:36,36,23,64,46
17:39,45,26,77,38
17:42,31,23,75,35
17:45,27,22,78,38
17:48,33,21,101,42
17:51,35,27,70,37
17:54,29,24,67,27
17:57,33,24,80,39
18:00,28,21,72,32
18:03,29,22,67,35
18:06,38,24,69,34
18:09,40,28,59,37
18:12,49,34,92,34
18:15,31,9,57,33
18:18,50,10,86,29
18:21,31,27,108,34
18:24,35,17,78,30
